Team,Lg,From,To,Yrs,G,W,L,W/L%,Plyfs,Div,Conf,Champ
Sacramento Kings,NBA,1985-86,2022-23,38,3048,1296,1752,0.425,11,3,0,0
Kansas City Kings,NBA,1975-76,1984-85,10,820,381,439,0.465,4,1,0,0
Kansas City-Omaha Kings,NBA,1972-73,1974-75,3,246,113,133,0.459,1,0,0,0
Cincinnati Royals,NBA,1957-58,1971-72,15,1189,555,634,0.467,7,0,0,0
Rochester Royals,NBA/BAA,1948-49,1956-57,9,620,357,263,0.576,7,2,0,1
San Antonio Spurs,NBA/ABA,1967-68,2022-23,56,4529,2661,1868,0.588,47,22,6,5
San Antonio Spurs,NBA,1976-77,2022-23,47,3785,2283,1502,0.603,39,22,6,5
San Antonio Spurs,ABA,1973-74,1975-76,3,252,146,106,0.579,3,0,0,0
Texas Chaparrals,ABA,1970-71,1970-71,1,84,30,54,0.357,1,0,0,0
Dallas Chaparrals,ABA,1967-68,1972-73,5,408,202,206,0.495,4,0,0,0
Toronto Raptors,NBA,1995-96,2022-23,28,2228,1071,1157,0.481,14,7,1,1
Utah Jazz,NBA,1974-75,2022-23,49,3950,2146,1804,0.543,31,11,2,0
Utah Jazz,NBA,1979-80,2022-23,44,3540,1985,1555,0.561,31,11,2,0
New Orleans Jazz,NBA,1974-75,1978-79,5,410,161,249,0.393,0,0,0,0
Washington Wizards,NBA,1961-62,2022-23,62,5005,2257,2748,0.451,30,8,4,1
Washington Wizards,NBA,1997-98,2022-23,26,2064,879,1185,0.426,9,1,0,0
Washington Bullets,NBA,1974-75,1996-97,23,1886,887,999,0.47,13,2,3,1
Capital Bullets,NBA,1973-74,1973-74,1,82,47,35,0.573,1,1,0,0
Baltimore Bullets,NBA,1963-64,1972-73,10,813,401,412,0.493,7,4,1,0
Chicago Zephyrs,NBA,1962-63,1962-63,1,80,25,55,0.313,0,0,0,0
Chicago Packers,NBA,1961-62,1961-62,1,80,18,62,0.225,0,0,0,0
